cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc,TX_keV,Mgas_Msun,Y500_arcmin2,ICM_proxy_type,Ethermal_c2_Msun,dynamical_state,merger_exclusion_flag,merger_exclusion_reason,source_url
J0000.1+0816,MCXC-I,0.029583333333333326,8.274444444444445,0.0396,7.373e+13,X-ray_Lx_scaling,0.6296,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0000.4-0237,MCXC-I,0.10291666666666666,-2.625,0.0379,3.297e+13,X-ray_Lx_scaling,0.4817,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0001.6-1540,MCXC-I,0.4125,-15.681111111111111,0.1246,1.6557e+14,X-ray_Lx_scaling,0.8021,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0001.9+1204,MCXC-I,0.48749999999999993,12.073055555555555,0.2033,2.6926999e+14,X-ray_Lx_scaling,0.9178,,,0.001633391,Y_SZ_derived_LCDM,459310528.5560522,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0003.1-0605,MCXC-I,0.7991666666666666,-6.086111111111111,0.232,5.2188e+14,X-ray_Lx_scaling,1.1326,,,0.004406637,Y_SZ_derived_LCDM,1516689581.422062,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0003.2-3555,MCXC-I,0.8004166666666667,-35.92722222222222,0.049,1.2016e+14,X-ray_Lx_scaling,0.7388,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0003.8+0203,MCXC-I,0.9608333333333333,2.063333333333333,0.0924,1.7342001e+14,X-ray_Lx_scaling,0.8233,,,0.001042464,Y_SZ_derived_LCDM,77697807.3388766,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0004.9+1142,MCXC-I,1.2474999999999998,11.700555555555555,0.0761,1.3009e+14,X-ray_Lx_scaling,0.752,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0005.3+1612,MCXC-I,1.3441666666666665,16.210555555555555,0.1164,2.4928998e+14,X-ray_Lx_scaling,0.9218,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0006.0-3443,MCXC-I,1.5125,-34.72416666666667,0.1147,2.7121999e+14,X-ray_Lx_scaling,0.9486,,,0.0057545520000000005,Y_SZ_derived_LCDM,627771417.4927535,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0006.3+1052,MCXC-I,1.5904166666666664,10.867777777777778,0.1698,2.9941002e+14,X-ray_Lx_scaling,0.9621,,,0.002523167,Y_SZ_derived_LCDM,532768564.4815374,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0008.9+4110,MCXC-I,2.237083333333333,41.176944444444445,0.1537,2.8963e+14,X-ray_Lx_scaling,0.9569,,,0.0025895609999999998,Y_SZ_derived_LCDM,464381951.0746957,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0009.7-3516,MCXC-I,2.4437499999999996,-35.275,0.05,8.728e+13,X-ray_Lx_scaling,0.6639,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0011.3-2851,MCXC-I,2.8362499999999997,-28.855,0.062,2.0611e+14,X-ray_Lx_scaling,0.8807,,,0.007603613,Y_SZ_derived_LCDM,274007953.3747251,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0011.7-1523,MCXC-I,2.928333333333333,-15.389444444444443,0.378,7.2e+14,X-ray_Lx_scaling,1.19,,,0.001212366,Y_SZ_derived_LCDM,819421666.493647,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0011.7+3225,MCXC-I,2.9349999999999996,32.41694444444444,0.1073,3.3785e+14,X-ray_Lx_scaling,1.0232,,,0.005843149000000001,Y_SZ_derived_LCDM,567400209.1334496,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0013.6-1930,MCXC-I,3.409583333333333,-19.502222222222223,0.094,2.1818e+14,X-ray_Lx_scaling,0.8883,,,0.00319773,Y_SZ_derived_LCDM,245746964.3884951,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0014.3-6604,MCXC-I,3.5766666666666667,-66.0775,0.1599,3.4455e+14,X-ray_Lx_scaling,1.0117,,,0.000876383,Y_SZ_derived_LCDM,167754393.30157763,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0014.3-3023,MCXC-I,3.5783333333333327,-30.383333333333333,0.3066,7.3614e+14,X-ray_Lx_scaling,1.2359,,,0.004099188,Y_SZ_derived_LCDM,2106440518.891822,disturbed,True,named_known_merger,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0014.3+0854,MCXC-I,3.5824999999999996,8.9,0.163,2.7218001e+14,X-ray_Lx_scaling,0.9342,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0015.4-2350,MCXC-I,3.849999999999999,-23.845,0.0645,9.884e+13,X-ray_Lx_scaling,0.6888,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
J0015.9+1614,MCXC-I,3.9829166666666658,16.249444444444446,0.083,9.6380006e+13,X-ray_Lx_scaling,0.679,,,,not_available,,unknown,False,,https://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/534/A109
