psz2_name,ra_deg,dec_deg,z,sigma_v,M500_dyn,name_norm,TX_keV,R500_arcmin,sigma_v_m_s,Ti_from_sigma,Ti_from_TX,Ti_best
PSZ2 G000.13+78.04,203.53424072266,20.24086761475,0.17228177005313225,1028.0267367162692,808554650597664.1,PSZ2G000.13+78.04,,,1028026.7367162692,14241867754.352547,,14241867754.352547
PSZ2 G004.45-19.55,289.27111816406,-33.52244567871,0.5185963196914786,1208.7834745147193,944356505498447.0,PSZ2G004.45-19.55,,,1208783.4745147193,22997559659.933094,,22997559659.933094
PSZ2 G006.49+50.56,227.73429870605,5.74462604523,0.07820560891316009,1080.3972448418947,1030198565561423.6,PSZ2G006.49+50.56,,,1080397.2448418946,20041795502.38246,,20041795502.38246
PSZ2 G008.31-64.74,344.70098876953,-34.80046463013,0.3153282584942422,2006.6905640958098,4963885231031929.0,PSZ2G008.31-64.74,,,2006690.5640958098,333143464915.80615,,333143464915.80615
PSZ2 G008.94-81.22,3.57961320877,-30.39115524292,0.3060104973713816,1731.5523332100267,3354966710027368.0,PSZ2G008.94-81.22,,,1731552.3332100268,167651795363.86816,,167651795363.86816
PSZ2 G021.10+33.24,248.19577026367,5.57509851456,0.15125028126060708,1232.8126116954795,1515553485875250.8,PSZ2G021.10+33.24,,,1232812.6116954796,38389650168.46885,,38389650168.46885
PSZ2 G028.63+50.15,235.00106811523,17.93458938599,0.09097858908294472,787.7058131252556,389174458427545.4,PSZ2G028.63+50.15,,,787705.8131252556,4024585705.457829,,4024585705.457829
PSZ2 G028.89+60.13,225.08169555664,21.36917304993,0.15176216804828746,814.4613606469577,418911948961747.5,PSZ2G028.89+60.13,,,814461.3606469576,4631401893.788635,,4631401893.788635
PSZ2 G031.93+78.71,205.45294189453,26.37264633179,0.07520845531421466,557.2544010837896,145066591678276.2,PSZ2G031.93+78.71,,,557254.4010837896,750798111.1603932,,750798111.1603932
PSZ2 G033.81+77.18,207.22058105469,26.59081077576,0.0628630938473513,796.5151070177789,397716469013855.56,PSZ2G033.81+77.18,,,796515.1070177789,4205429521.622734,,4205429521.622734
PSZ2 G040.03+74.95,209.81294250488,27.97613334656,0.07558249417563481,1198.6824659363817,1338258776825809.8,PSZ2G040.03+74.95,,,1198682.4659363818,32047721300.811096,,32047721300.811096
PSZ2 G040.58+77.12,207.34794616699,28.10653305054,0.07547514076805868,695.2208177956601,277863501089691.56,PSZ2G040.58+77.12,,,695220.8177956601,2238338627.978003,,2238338627.978003
PSZ2 G041.45+29.10,259.43664550781,19.67658996582,0.17711861192353476,1331.523667291688,1452263306478150.0,PSZ2G041.45+29.10,6.35,6.48,1331523.667291688,42913298202.864456,1913491585.6944063,1913491585.6944063
PSZ2 G042.81+56.61,230.62280273438,27.70775604248,0.07210452763873577,1162.1237090673126,1235403205055571.0,PSZ2G042.81+56.61,5.42,13.5,1162123.7090673125,27807516039.62402,1389362194.8253675,1389362194.8253675
PSZ2 G044.20+48.66,239.58528137207,27.23002052307,0.09016369476824666,1101.9304244857603,1079454939447865.6,PSZ2G044.20+48.66,,,1101930.4244857603,21845481218.409435,,21845481218.409435
