z,Hz_km_s_Mpc,sigma_Hz,source,method,FLRW_independent
0.07,69.0,19.6,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.09,69.0,12.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.12,68.6,26.2,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.17,83.0,8.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.179,75.0,4.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.199,75.0,5.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.2,72.9,29.6,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.27,77.0,14.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.28,88.8,36.6,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.352,83.0,14.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.38,83.0,13.5,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.4,95.0,17.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.48,97.0,62.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.593,104.0,13.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.68,92.0,8.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.75,98.8,33.6,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.781,105.0,12.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.875,125.0,17.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.88,90.0,40.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
0.9,117.0,23.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.037,154.0,20.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.3,168.0,17.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.363,160.0,33.6,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.43,177.0,18.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.53,140.0,14.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.75,202.0,40.0,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
1.965,186.5,50.4,Moresco+2022_arXiv:2201.07241,cosmic_chronometer,True
