cluster_id,catalog,ra_deg,dec_deg,z,M500c_Msun,M500c_method,R500c_Mpc
J0000.1+0816,MCXC-I,0.029583333333333326,8.274444444444445,0.0396,7.373e+13,X-ray_Lx_scaling,0.6296
J0000.4-0237,MCXC-I,0.10291666666666666,-2.625,0.0379,3.297e+13,X-ray_Lx_scaling,0.4817
J0001.6-1540,MCXC-I,0.4125,-15.681111111111111,0.1246,1.6557e+14,X-ray_Lx_scaling,0.8021
J0001.9+1204,MCXC-I,0.48749999999999993,12.073055555555555,0.2033,2.6926999e+14,X-ray_Lx_scaling,0.9178
J0003.1-0605,MCXC-I,0.7991666666666666,-6.086111111111111,0.232,5.2188e+14,X-ray_Lx_scaling,1.1326
J0003.2-3555,MCXC-I,0.8004166666666667,-35.92722222222222,0.049,1.2016e+14,X-ray_Lx_scaling,0.7388
J0003.8+0203,MCXC-I,0.9608333333333333,2.063333333333333,0.0924,1.7342001e+14,X-ray_Lx_scaling,0.8233
J0004.9+1142,MCXC-I,1.2474999999999998,11.700555555555555,0.0761,1.3009e+14,X-ray_Lx_scaling,0.752
J0005.3+1612,MCXC-I,1.3441666666666665,16.210555555555555,0.1164,2.4928998e+14,X-ray_Lx_scaling,0.9218
J0006.0-3443,MCXC-I,1.5125,-34.72416666666667,0.1147,2.7121999e+14,X-ray_Lx_scaling,0.9486
J0006.3+1052,MCXC-I,1.5904166666666664,10.867777777777778,0.1698,2.9941002e+14,X-ray_Lx_scaling,0.9621
J0008.9+4110,MCXC-I,2.237083333333333,41.176944444444445,0.1537,2.8963e+14,X-ray_Lx_scaling,0.9569
J0009.7-3516,MCXC-I,2.4437499999999996,-35.275,0.05,8.728e+13,X-ray_Lx_scaling,0.6639
J0011.3-2851,MCXC-I,2.8362499999999997,-28.855,0.062,2.0611e+14,X-ray_Lx_scaling,0.8807
J0011.7-1523,MCXC-I,2.928333333333333,-15.389444444444443,0.378,7.2e+14,X-ray_Lx_scaling,1.19
J0011.7+3225,MCXC-I,2.9349999999999996,32.41694444444444,0.1073,3.3785e+14,X-ray_Lx_scaling,1.0232
J0013.6-1930,MCXC-I,3.409583333333333,-19.502222222222223,0.094,2.1818e+14,X-ray_Lx_scaling,0.8883
J0014.3-6604,MCXC-I,3.5766666666666667,-66.0775,0.1599,3.4455e+14,X-ray_Lx_scaling,1.0117
J0014.3-3023,MCXC-I,3.5783333333333327,-30.383333333333333,0.3066,7.3614e+14,X-ray_Lx_scaling,1.2359
J0014.3+0854,MCXC-I,3.5824999999999996,8.9,0.163,2.7218001e+14,X-ray_Lx_scaling,0.9342
J0015.4-2350,MCXC-I,3.849999999999999,-23.845,0.0645,9.884e+13,X-ray_Lx_scaling,0.6888
J0015.9+1614,MCXC-I,3.9829166666666658,16.249444444444446,0.083,9.6380006e+13,X-ray_Lx_scaling,0.679
J0016.3-3121,MCXC-I,4.0825,-31.36527777777778,0.0805,1.2607e+14,X-ray_Lx_scaling,0.7431
J0016.7+0646,MCXC-I,4.189583333333332,6.773611111111111,0.0833,9.629e+13,X-ray_Lx_scaling,0.6787
J0017.5-3509,MCXC-I,4.390416666666666,-35.165,0.0968,1.5291e+14,X-ray_Lx_scaling,0.7883
J0018.5+1626,MCXC-I,4.640833333333332,16.438055555555557,0.5456,7.7847e+14,X-ray_Lx_scaling,1.1477
J0019.0-2026,MCXC-I,4.766249999999999,-20.438055555555557,0.2773,4.7634003e+14,X-ray_Lx_scaling,1.0807
J0019.6+2517,MCXC-I,4.912916666666666,25.290833333333335,0.1353,2.3266e+14,X-ray_Lx_scaling,0.8951
J0020.1+0005,MCXC-I,5.044583333333332,0.09166666666666666,0.2124,1.3975001e+14,X-ray_Lx_scaling,0.7352
J0020.5-4913,MCXC-I,5.142083333333332,-49.22777777777778,0.0711,8.73e+13,X-ray_Lx_scaling,0.6595
J0020.6+2840,MCXC-I,5.170416666666665,28.675,0.094,2.3889999e+14,X-ray_Lx_scaling,0.9156
J0020.7-2542,MCXC-I,5.178333333333333,-25.710277777777776,0.141,3.5275e+14,X-ray_Lx_scaling,1.0263
J0021.5+2803,MCXC-I,5.399583333333332,28.05138888888889,0.0948,1.8782001e+14,X-ray_Lx_scaling,0.8448
J0022.0+0422,MCXC-I,5.514166666666666,4.377222222222222,0.407,1.0815e+14,X-ray_Lx_scaling,0.6277
J0023.1+0421,MCXC-I,5.7749999999999995,4.35361111111111,0.453,1.2496001e+14,X-ray_Lx_scaling,0.6469
J0024.0-1704,MCXC-I,6.015,-17.075555555555557,0.189,2.2757002e+14,X-ray_Lx_scaling,0.8722
J0024.5+3312,MCXC-I,6.1325,33.20861111111111,0.226,3.3939e+14,X-ray_Lx_scaling,0.9834
J0025.4-1222,MCXC-I,6.3725,-12.376944444444446,0.5843,4.6232e+14,X-ray_Lx_scaling,0.95
J0025.5-3302,MCXC-I,6.385,-33.04722222222222,0.0491,1.2871999e+14,X-ray_Lx_scaling,0.7559
J0026.7+0501,MCXC-I,6.699166666666666,5.023888888888889,0.2529,8.595e+13,X-ray_Lx_scaling,0.6162
J0027.3-5015,MCXC-I,6.838749999999999,-50.25111111111111,0.1448,2.9603e+14,X-ray_Lx_scaling,0.9668
J0027.8+2616,MCXC-I,6.957499999999999,26.273888888888887,0.3668,5.6843e+14,X-ray_Lx_scaling,1.1083
J0028.6-2338,MCXC-I,7.163749999999999,-23.63722222222222,0.112,2.3285e+14,X-ray_Lx_scaling,0.9024
J0029.0+0742,MCXC-I,7.255416666666665,7.703333333333333,0.17,1.653e+14,X-ray_Lx_scaling,0.7892
J0029.8+1330,MCXC-I,7.4608333333333325,13.50388888888889,0.251,1.511e+14,X-ray_Lx_scaling,0.7442
J0030.5+2618,MCXC-I,7.639999999999999,26.304444444444446,0.5,2.6037e+14,X-ray_Lx_scaling,0.8112
J0030.6-2410,MCXC-I,7.656666666666666,-24.18138888888889,0.1382,1.6278e+14,X-ray_Lx_scaling,0.7938
J0034.2-0204,MCXC-I,8.557916666666666,-2.075277777777778,0.0822,2.193e+14,X-ray_Lx_scaling,0.8933
J0034.6-0208,MCXC-I,8.649999999999999,-2.14,0.0812,2.2202001e+14,X-ray_Lx_scaling,0.8972
J0035.4-2015,MCXC-I,8.859166666666667,-20.262777777777778,0.352,1.02e+15,X-ray_Lx_scaling,1.35
J0035.9+8513,MCXC-I,8.997083333333332,85.2213888888889,0.8317,2.1397e+14,X-ray_Lx_scaling,0.6659
J0036.5+2544,MCXC-I,9.149166666666664,25.74388888888889,0.0341,4.869e+13,X-ray_Lx_scaling,0.5493
J0037.0+0909,MCXC-I,9.272083333333333,9.153055555555556,0.2546,5.9801004e+14,X-ray_Lx_scaling,1.1755
J0037.4-2831,MCXC-I,9.362499999999999,-28.53111111111111,0.105,1.3146e+14,X-ray_Lx_scaling,0.7476
J0039.6+2114,MCXC-I,9.899999999999999,21.23888888888889,0.0619,7.517e+13,X-ray_Lx_scaling,0.6292
J0040.0+0649,MCXC-I,10.002083333333331,6.8180555555555555,0.0395,9.933e+13,X-ray_Lx_scaling,0.6954
J0040.1-5607,MCXC-I,10.02708333333333,-56.11666666666667,0.0277,4.058e+13,X-ray_Lx_scaling,0.5179
J0040.4+2933,MCXC-I,10.114166666666666,29.559444444444445,0.0712,1.8872e+14,X-ray_Lx_scaling,0.8527
J0041.1-2339,MCXC-I,10.292916666666665,-23.659166666666664,0.112,3.13e+13,X-ray_Lx_scaling,0.4623
J0041.7+2124,MCXC-I,10.44625,21.413888888888888,0.1014,1.9071e+14,X-ray_Lx_scaling,0.8473
J0041.8-0918,MCXC-I,10.458749999999998,-9.301944444444445,0.0555,5.3162998e+14,X-ray_Lx_scaling,1.2103
J0042.1-2832,MCXC-I,10.536249999999997,-28.535833333333336,0.1082,3.5046e+14,X-ray_Lx_scaling,1.0355
J0043.4-2037,MCXC-I,10.851666666666665,-20.62138888888889,0.2924,5.3663002e+14,X-ray_Lx_scaling,1.1182
J0043.8+2424,MCXC-I,10.967083333333331,24.401944444444442,0.083,2.8014e+14,X-ray_Lx_scaling,0.969
J0045.3-2924,MCXC-I,11.328333333333331,-29.400555555555552,0.257,1.6259e+14,X-ray_Lx_scaling,0.7609
J0045.7-2515,MCXC-I,11.437916666666666,-25.261666666666667,0.112,8.427e+13,X-ray_Lx_scaling,0.6431
J0046.3+8530,MCXC-I,11.580833333333333,85.51583333333333,0.6241,2.6212001e+14,X-ray_Lx_scaling,0.7739
J0048.6-2114,MCXC-I,12.158333333333333,-21.247222222222224,0.0581,9.497e+13,X-ray_Lx_scaling,0.6811
J0049.4-2931,MCXC-I,12.35,-29.524444444444445,0.1084,2.3682e+14,X-ray_Lx_scaling,0.9086
J0049.8+2426,MCXC-I,12.45208333333333,24.441111111111113,0.0815,1.9841e+14,X-ray_Lx_scaling,0.8641
J0050.9-0929,MCXC-I,12.747083333333332,-9.487222222222222,0.199,1.2765e+14,X-ray_Lx_scaling,0.7167
J0051.1-4833,MCXC-I,12.796666666666663,-48.55972222222222,0.1873,2.7637999e+14,X-ray_Lx_scaling,0.9311
J0051.3-2831,MCXC-I,12.829999999999998,-28.519444444444442,0.1125,1.5303e+14,X-ray_Lx_scaling,0.7844
J0052.7-8015,MCXC-I,13.187083333333332,-80.26638888888888,0.1141,3.9812e+14,X-ray_Lx_scaling,1.0783
J0054.0-2823,MCXC-I,13.511666666666665,-28.399444444444445,0.292,9.661e+13,X-ray_Lx_scaling,0.6315
J0055.9+2622,MCXC-I,13.999166666666666,26.378055555555555,0.1971,6.0675996e+14,X-ray_Lx_scaling,1.2059
J0056.0-3732,MCXC-I,14.014583333333333,-37.54527777777778,0.163,2.3188e+14,X-ray_Lx_scaling,0.8857
J0056.3-0112,MCXC-I,14.076249999999998,-1.2166666666666668,0.0442,2.4747e+14,X-ray_Lx_scaling,0.9413
J0056.9-2213,MCXC-I,14.229166666666664,-22.230833333333333,0.116,5.3890003e+13,X-ray_Lx_scaling,0.5533
J0056.9-2740,MCXC-I,14.233749999999997,-27.67,0.563,1.4312e+14,X-ray_Lx_scaling,0.6481
J0057.4-2616,MCXC-I,14.352916666666664,-26.280555555555555,0.113,1.7267e+14,X-ray_Lx_scaling,0.8165
J0057.4+3012,MCXC-I,14.373333333333331,30.214444444444442,0.123,3.371e+13,X-ray_Lx_scaling,0.4721
J0057.8-6648,MCXC-I,14.450416666666666,-66.81222222222222,0.0661,1.6195001e+14,X-ray_Lx_scaling,0.8116
J0058.4-1425,MCXC-I,14.617499999999998,-14.4275,0.0957,1.1444e+14,X-ray_Lx_scaling,0.716
J0058.9+2657,MCXC-I,14.725833333333332,26.950555555555553,0.0451,8.174e+13,X-ray_Lx_scaling,0.6505
J0102.7-2152,MCXC-I,15.675416666666667,-21.87361111111111,0.0569,2.4774e+14,X-ray_Lx_scaling,0.9379
J0104.5-2400,MCXC-I,16.145833333333332,-24.0,0.1603,2.2394e+14,X-ray_Lx_scaling,0.8762
J0105.0+0201,MCXC-I,16.259583333333328,2.03,0.1967,3.1424e+14,X-ray_Lx_scaling,0.9686
J0105.1+3311,MCXC-I,16.279166666666665,33.189722222222215,0.08,1.4819e+14,X-ray_Lx_scaling,0.7844
J0105.5-2439,MCXC-I,16.394999999999996,-24.654722222222222,0.23,4.7167002e+14,X-ray_Lx_scaling,1.0959
J0106.8+0103,MCXC-I,16.709583333333335,1.0547222222222223,0.2537,4.7410003e+14,X-ray_Lx_scaling,1.0884
J0106.8-0229,MCXC-I,16.718333333333334,-2.49,0.1909,3.3322e+14,X-ray_Lx_scaling,0.9897
J0106.9+3209,MCXC-I,16.74583333333333,32.15833333333333,0.112,7.3259995e+13,X-ray_Lx_scaling,0.6138
J0107.4+3227,MCXC-I,16.867916666666666,32.46194444444445,0.017,3.972e+13,X-ray_Lx_scaling,0.5159
J0107.7+5408,MCXC-I,16.949166666666663,54.14194444444444,0.1066,3.5609e+14,X-ray_Lx_scaling,1.0415
J0107.8-3643,MCXC-I,16.954583333333332,-36.727222222222224,0.1186,2.0589001e+14,X-ray_Lx_scaling,0.8642
J0108.0+7558,MCXC-I,17.00458333333333,75.97777777777777,0.096,2.5121e+14,X-ray_Lx_scaling,0.9304
J0108.1+0210,MCXC-I,17.047916666666666,2.176111111111111,0.0436,7.263e+13,X-ray_Lx_scaling,0.6257
J0108.5-4020,MCXC-I,17.138333333333332,-40.35,0.1408,2.2658e+14,X-ray_Lx_scaling,0.8856
J0108.8-1524,MCXC-I,17.208749999999995,-15.41,0.0533,1.2778e+14,X-ray_Lx_scaling,0.753
J0108.9-1537,MCXC-I,17.23,-15.62888888888889,0.097,1.6888e+14,X-ray_Lx_scaling,0.8148
J0110.0-4555,MCXC-I,17.501666666666665,-45.922777777777775,0.0238,7.103e+13,X-ray_Lx_scaling,0.6249
J0110.0+1358,MCXC-I,17.522916666666667,13.980277777777777,0.0581,4.079e+13,X-ray_Lx_scaling,0.5139
