service,source_page,time_gyr,z,h_data_nominal,h_data_sigma,h_flrw,flrw_dev_sigma,h_mult,mult_dev_sigma,beta_d,beta_q,h0_anchor,notes
Gemini,27,13.5,0.02,70.2,1.4,69.8,-0.29,70.2,0.00,4.25,8.10,67.4,H_MULT normalized to 70.2 at z=0.02
Gemini,28,13.0,0.05,72.9,2.1,71.5,-0.67,72.8,-0.05,4.25,8.10,67.4,
Gemini,28,12.0,0.14,77.5,3.5,76.2,-0.37,77.1,-0.11,4.25,8.10,67.4,
Gemini,28,11.0,0.25,83.1,4.2,82.5,-0.14,82.9,-0.05,4.25,8.10,67.4,
Gemini,28,10.0,0.38,90.5,5.0,91.8,0.26,91.0,0.10,4.25,8.10,67.4,
Gemini,28,9.0,0.54,101.2,6.3,104.5,0.52,102.1,0.14,4.25,8.10,67.4,
Gemini,28,8.0,0.74,115.0,8.0,123.4,1.05,116.8,0.23,4.25,8.10,67.4,
Gemini,28,7.0,1.01,134.5,10.2,151.2,1.64,138.2,0.36,4.25,8.10,67.4,
Gemini,28,6.0,1.38,162.0,12.5,196.4,2.75,169.5,0.60,4.25,8.10,67.4,
Gemini,28,5.0,1.92,202.0,15.0,278.5,5.10,218.4,1.09,4.25,8.10,67.4,
Gemini,28,4.0,2.81,265.0,20.0,425.0,8.00,294.0,1.45,4.25,8.10,67.4,
